Date,Country/Region,Lat,Long,no.Passenger
1/22/2020,Afghanistan,33,65,242
1/22/2020,Australia,-35.4735,149.0124,857
1/22/2020,Japan,36,138,175
1/22/2020,Malaysia,2.5,112.5,100
1/22/2020,"Korea, South",36,128,255
1/22/2020,France,3.9339,-53.1258,752
1/22/2020,Singapore,1.2833,103.8333,254
1/22/2020,Brazil,-14.235,-51.9253,643
1/22/2020,United Kingdom,32.3078,-64.7505,824
1/23/2020,Afghanistan,33,65,285
1/23/2020,Australia,-35.4735,149.0124,952
1/23/2020,Japan,36,138,120
1/23/2020,Malaysia,2.5,112.5,120
1/23/2020,"Korea, South",36,128,300
1/23/2020,France,3.9339,-53.1258,754
1/23/2020,Singapore,1.2833,103.8333,204
1/23/2020,Brazil,-14.235,-51.9253,654
1/23/2020,United Kingdom,32.3078,-64.7505,798
1/24/2020,Afghanistan,33,65,260
1/24/2020,Australia,-35.4735,149.0124,798
1/24/2020,Japan,36,138,112
1/24/2020,Malaysia,2.5,112.5,126
1/24/2020,"Korea, South",36,128,258
1/24/2020,France,3.9339,-53.1258,395
1/24/2020,Singapore,1.2833,103.8333,195
1/24/2020,Brazil,-14.235,-51.9253,620
1/24/2020,United Kingdom,32.3078,-64.7505,750
1/25/2020,Afghanistan,33,65,265
1/25/2020,Australia,-35.4735,149.0124,759
1/25/2020,Japan,36,138,132
1/25/2020,Malaysia,2.5,112.5,124
1/25/2020,"Korea, South",36,128,254
1/25/2020,France,3.9339,-53.1258,365
1/25/2020,Singapore,1.2833,103.8333,145
1/25/2020,Brazil,-14.235,-51.9253,521
1/25/2020,United Kingdom,32.3078,-64.7505,745
1/26/2020,Afghanistan,33,65,300
1/26/2020,Australia,-35.4735,149.0124,700
1/26/2020,Japan,36,138,112
1/26/2020,Malaysia,2.5,112.5,105
1/26/2020,"Korea, South",36,128,246
1/26/2020,France,3.9339,-53.1258,354
1/26/2020,Singapore,1.2833,103.8333,135
1/26/2020,Brazil,-14.235,-51.9253,510
1/26/2020,United Kingdom,32.3078,-64.7505,712
1/27/2020,Afghanistan,33,65,298
1/27/2020,Australia,-35.4735,149.0124,695
1/27/2020,Japan,36,138,140
1/27/2020,Malaysia,2.5,112.5,115
1/27/2020,"Korea, South",36,128,214
1/27/2020,France,3.9339,-53.1258,352
1/27/2020,Singapore,1.2833,103.8333,131
1/27/2020,Brazil,-14.235,-51.9253,500
1/27/2020,United Kingdom,32.3078,-64.7505,712
1/28/2020,Afghanistan,33,65,250
1/28/2020,Australia,-35.4735,149.0124,635
1/28/2020,Japan,36,138,120
1/28/2020,Malaysia,2.5,112.5,110
1/28/2020,"Korea, South",36,128,150
1/28/2020,France,3.9339,-53.1258,300
1/28/2020,Singapore,1.2833,103.8333,100
1/28/2020,Brazil,-14.235,-51.9253,400
1/28/2020,United Kingdom,32.3078,-64.7505,600
1/29/2020,Afghanistan,33,65,100
1/29/2020,Australia,-35.4735,149.0124,235
1/29/2020,Japan,36,138,54
1/29/2020,Malaysia,2.5,112.5,45
1/29/2020,"Korea, South",36,128,46
1/29/2020,France,3.9339,-53.1258,125
1/29/2020,Singapore,1.2833,103.8333,211
1/29/2020,Brazil,-14.235,-51.9253,154
1/29/2020,United Kingdom,32.3078,-64.7505,285
1/30/2020,Afghanistan,33,65,50
